iter a005 a03 a10 a1000
0 0.693147 0.693147 0.693147 0.693147
1 0.684362 0.642124 0.538507 0.408290
2 0.675799 0.598564 0.449297 0.387478
3 0.667454 0.561257 0.393020 0.373808
4 0.659319 0.529146 0.354346 0.362866
5 0.651389 0.501340 0.325975 0.353528
6 0.643660 0.477102 0.304127 0.344998
7 0.636125 0.455832 0.286678 0.336791
8 0.628779 0.437041 0.272347 0.328696
9 0.621616 0.420334 0.260313 0.320639
10 0.614632 0.405388 0.250029 0.312600
11 0.607822 0.391941 0.241113 0.304577
12 0.601179 0.379778 0.233289 0.296568
13 0.594700 0.368721 0.226355 0.288575
14 0.588380 0.358623 0.220156 0.280600
15 0.582214 0.349361 0.214574 0.272645
16 0.576198 0.340832 0.209514 0.264711
17 0.570326 0.332949 0.204903 0.256802
18 0.564596 0.325639 0.200678 0.248920
19 0.559002 0.318838 0.196791 0.241070
20 0.553540 0.312493 0.193201 0.233255
21 0.548207 0.306556 0.189872 0.225481
22 0.542999 0.300987 0.186776 0.217754
23 0.537912 0.295750 0.183888 0.210082
24 0.532942 0.290816 0.181186 0.202475
25 0.528087 0.286156 0.178653 0.194944
26 0.523341 0.281748 0.176273 0.187503
27 0.518703 0.277569 0.174031 0.180171
28 0.514170 0.273602 0.171915 0.172968
29 0.509737 0.269829 0.169915 0.165921
30 0.505402 0.266235 0.168022 0.159062
31 0.501162 0.262807 0.166225 0.152429
32 0.497014 0.259533 0.164519 0.146069
33 0.492956 0.256402 0.162897 0.140035
34 0.488985 0.253404 0.161351 0.134386
35 0.485098 0.250530 0.159878 0.129188
36 0.481293 0.247772 0.158471 0.124505
37 0.477568 0.245122 0.157126 0.120397
38 0.473920 0.242575 0.155840 0.116910
39 0.470348 0.240123 0.154608 0.114064
40 0.466848 0.237761 0.153427 0.111846
