x y
0.8770 0.3559
1.3012 -1.4600
0.0998 -0.5661
0.5523 1.1454
1.0982 1.0685
1.3091 1.5982
0.5754 -0.3797
0.4398 -1.0250
0.7186 -1.6089
1.0725 -1.1029
1.0464 0.7431
1.1722 1.6375
-1.1197 -0.8684
-1.2570 -1.1576
-1.0316 -0.8249
-1.3675 -0.9463
0.6809 -1.2520
0.6105 -0.2818
1.1615 -1.2198
-1.0181 -0.8358
1.0275 -0.7987
0.2075 -0.7396
-1.5522 -1.3689
0.6727 -1.0915
0.8551 -0.6341
0.5219 -0.8245
0.8933 -1.1020
0.8206 1.2679
0.7832 -0.5394
0.3867 1.2218
0.5171 1.3328
-1.4592 -1.5194
0.4754 1.8617
0.5570 -0.7179
0.7818 -0.1418
1.3409 -1.6727
-2.1533 -1.2944
0.8185 1.1416
0.8216 -0.6819
0.8183 1.1147
0.5563 0.9549
-1.2715 -0.7552
0.5062 1.4430
0.8576 -0.8514
0.7687 -1.0925
-1.5247 -0.2960
0.5666 -0.9601
0.9746 -1.1205
-0.9941 -0.5069
-1.1114 -0.3400
0.8168 -1.0291
0.5963 1.2420
0.4406 -0.6167
0.6188 -0.9977
0.5786 -0.5062
-1.9395 -0.8710
0.1384 1.4866
0.1447 -0.9513
0.9826 -0.7069
0.7354 0.7247
1.2068 -0.9043
1.0383 -1.4085
0.9375 1.5913
-1.4709 -0.5639
1.7601 0.9336
0.5953 -0.8091
0.4406 -1.2260
0.1314 1.7194
1.0144 -0.7486
1.2099 0.6985
0.6331 -1.2475
0.2979 0.7324
0.3748 -0.6115
1.2964 -1.0889
-0.0009 -0.8245
-1.4504 -1.0156
-1.1777 -1.0521
-1.6639 -1.1142
-0.5494 -0.4652
-1.6746 -0.7138
0.2026 -0.7416
-0.9572 -0.6316
-1.0498 -0.9824
0.8005 -0.4067
-1.3121 -0.0431
0.5224 -0.7388
0.4659 1.2989
0.5108 0.9110
0.8171 -0.7210
0.5399 1.0670
0.8787 -1.0239
0.7046 -0.7282
0.8646 -1.1540
0.8273 1.2218
0.4406 -0.8252
0.6891 -1.0691
0.9200 -0.8975
1.0022 0.8369
-1.6085 -0.8907
0.5998 -1.1606
0.7572 -0.9254
0.1952 -0.8251
-1.1534 -0.9394
0.6673 -0.7710
-0.9482 -0.9273
0.9346 -1.3690
1.2195 -1.1146
0.6909 -0.6695
1.0171 -0.8993
0.6575 -1.0210
0.6524 1.1178
0.8048 -0.5619
0.5853 -1.0853
-1.1327 -0.4763
0.4796 0.9063
0.3761 1.0960
0.9311 -1.0579
0.7138 -1.0636
0.7568 1.0220
0.4406 1.7171
0.4406 -0.7261
1.2149 -1.7051
0.6681 -0.9504
1.0017 -0.9370
-1.5801 -0.6249
1.2482 1.1582
0.1008 -0.2960
-1.7131 -1.3042
0.8603 -0.9389
1.0342 1.1659
1.2130 -0.7898
