x y
5.727 532.484
7.922 341.476
1.705 435.502
4.047 615.531
6.872 607.443
7.963 663.158
4.166 455.115
3.465 387.236
4.908 325.814
6.739 379.042
6.604 573.219
7.255 667.290
-4.605 403.713
-5.315 373.290
-4.149 408.283
-5.887 395.513
4.712 363.357
4.348 465.412
7.199 366.744
-4.079 407.140
6.506 411.040
2.263 417.256
-6.843 351.060
4.670 380.245
5.614 428.350
3.890 408.331
5.811 379.141
5.435 628.417
5.242 438.315
3.190 623.566
3.865 635.244
-6.362 335.235
3.649 690.880
4.071 419.541
5.235 480.136
8.127 319.108
-9.953 358.904
5.425 615.131
5.440 423.327
5.423 612.304
4.068 595.490
-5.391 415.617
3.808 646.837
5.627 405.493
5.166 380.135
-6.700 463.918
4.121 394.068
6.232 377.187
-3.955 441.731
-4.562 459.292
5.416 386.805
4.275 625.689
3.469 430.181
4.391 390.111
4.183 441.807
-8.847 403.440
1.905 651.419
1.938 394.989
6.273 420.694
4.995 571.276
7.434 399.931
6.562 346.898
6.040 662.433
-6.422 435.732
10.297 593.254
4.269 409.945
3.469 366.097
1.869 675.905
6.438 416.314
7.450 568.521
4.465 363.830
2.731 572.095
3.129 430.727
7.897 380.511
1.185 408.327
-6.316 388.220
-4.905 384.387
-7.421 377.852
-1.654 446.124
-7.476 419.970
2.237 417.042
-3.764 428.612
-4.243 391.716
5.331 452.274
-5.601 490.520
3.892 417.340
3.600 631.678
3.832 590.876
5.417 419.209
3.983 607.288
5.736 387.351
4.835 418.458
5.663 373.669
5.470 623.568
3.469 408.252
4.755 382.600
5.950 400.648
6.375 583.085
-7.134 401.359
4.293 372.977
5.107 397.712
2.199 408.260
-4.779 396.237
4.642 413.954
-3.717 397.511
6.025 351.055
7.499 377.810
4.764 424.631
6.452 400.460
4.591 387.658
4.565 612.627
5.353 435.953
4.218 380.891
-4.672 444.957
3.671 590.380
3.135 610.336
6.007 383.770
4.883 383.176
5.105 602.549
3.469 675.664
3.469 418.678
7.475 315.704
4.646 395.088
6.372 396.497
-6.987 429.318
7.648 616.881
1.711 463.918
-7.675 357.863
5.641 396.292
6.540 617.688
7.466 411.972
-4.983 627.803
4.868 535.102
3.288 551.697
6.270 406.398
2.990 663.708
-4.237 343.944
5.181 616.360
4.681 419.581
6.925 610.714
4.427 561.330
-6.275 365.152
5.790 646.463
5.939 362.306
