x y
-6.497 523.982
-4.862 583.742
-5.763 463.918
-4.540 599.597
-4.160 569.312
-5.203 598.218
-3.786 615.086
-6.939 593.368
-5.706 596.600
-3.653 627.385
-2.811 608.689
-5.195 630.249
-5.171 463.918
-7.674 544.611
-7.745 578.098
-5.527 587.779
-8.649 576.498
-6.215 551.140
-7.746 547.363
-5.550 606.656
-5.588 594.570
-4.937 597.213
-3.428 631.014
-4.028 647.002
-5.877 560.152
-5.587 560.806
-6.338 576.413
-5.672 572.281
-4.985 610.280
-4.049 626.981
-5.813 601.028
-6.856 617.554
-4.189 618.744
-3.473 637.683
-5.870 572.728
-4.992 611.016
-6.180 632.984
-5.209 463.918
-5.250 607.369
-4.459 616.958
-5.843 581.428
-4.133 604.171
-6.078 609.942
-6.309 542.566
-4.761 616.044
3.310 540.417
-5.198 596.563
-5.874 463.918
-6.580 549.629
-6.015 572.623
-6.031 586.415
-3.106 619.685
-4.353 621.490
-2.215 598.304
-1.919 696.650
-5.739 587.207
3.469 609.551
-3.620 599.178
-2.373 638.488
-5.718 585.538
-4.107 637.952
-5.154 573.910
-4.550 627.392
-6.229 554.330
-4.161 651.397
-2.970 624.618
-6.273 553.378
7.641 461.640
-4.713 568.388
-7.087 544.696
-2.952 667.497
-1.418 657.251
-2.431 610.599
-5.013 622.412
-3.243 579.331
-4.076 606.724
-3.426 642.397
-2.943 633.312
-4.627 570.362
-8.664 540.654
-7.299 590.507
-3.966 624.060
-4.557 596.087
-5.684 554.052
-2.504 660.473
-1.508 620.684
-4.079 583.148
-3.650 645.983
-5.429 582.102
-3.771 631.645
-4.205 596.042
-6.678 564.139
-5.760 628.900
-5.778 585.700
3.469 566.397
-5.786 598.561
-6.135 592.977
-3.987 591.048
-1.861 665.847
-4.791 619.926
-6.375 594.038
-4.745 563.894
-3.383 629.273
-3.325 648.273
-6.861 571.379
3.834 440.211
-5.494 585.323
-1.794 632.749
4.650 582.276
-3.650 639.811
-6.017 595.502
-6.242 620.726
