w0 cost wrong
-6.500 0.157201 57
-6.475 0.155725 55
-6.450 0.154273 54
-6.425 0.152845 54
-6.400 0.151442 51
-6.375 0.150063 49
-6.350 0.148708 46
-6.325 0.147377 46
-6.300 0.146070 46
-6.275 0.144787 45
-6.250 0.143528 44
-6.225 0.142292 40
-6.200 0.141080 40
-6.175 0.139891 40
-6.150 0.138725 39
-6.125 0.137583 39
-6.100 0.136463 39
-6.075 0.135367 37
-6.050 0.134293 37
-6.025 0.133243 37
-6.000 0.132214 36
-5.975 0.131209 35
-5.950 0.130225 35
-5.925 0.129264 34
-5.900 0.128326 34
-5.875 0.127409 33
-5.850 0.126515 33
-5.825 0.125642 33
-5.800 0.124791 33
-5.775 0.123962 33
-5.750 0.123155 33
-5.725 0.122370 32
-5.700 0.121606 32
-5.675 0.120863 31
-5.650 0.120142 31
-5.625 0.119442 31
-5.600 0.118763 31
-5.575 0.118106 31
-5.550 0.117470 31
-5.525 0.116855 31
-5.500 0.116261 32
-5.475 0.115688 32
-5.450 0.115135 32
-5.425 0.114604 32
-5.400 0.114094 32
-5.375 0.113604 32
-5.350 0.113135 33
-5.325 0.112687 33
-5.300 0.112260 33
-5.275 0.111853 33
-5.250 0.111467 33
-5.225 0.111102 32
-5.200 0.110757 32
-5.175 0.110433 32
-5.150 0.110130 32
-5.125 0.109848 32
-5.100 0.109586 32
-5.075 0.109344 31
-5.050 0.109124 31
-5.025 0.108924 32
-5.000 0.108745 32
-4.975 0.108587 32
-4.950 0.108450 32
-4.925 0.108333 32
-4.900 0.108237 32
-4.875 0.108163 33
-4.850 0.108109 33
-4.825 0.108076 35
-4.800 0.108065 36
-4.775 0.108074 36
-4.750 0.108105 36
-4.725 0.108157 36
-4.700 0.108230 36
-4.675 0.108325 37
-4.650 0.108442 37
-4.625 0.108580 37
-4.600 0.108740 37
-4.575 0.108921 38
-4.550 0.109125 39
-4.525 0.109351 39
-4.500 0.109598 39
-4.475 0.109868 40
-4.450 0.110161 40
-4.425 0.110475 41
-4.400 0.110813 41
-4.375 0.111173 43
-4.350 0.111556 45
-4.325 0.111962 45
-4.300 0.112391 46
-4.275 0.112844 46
-4.250 0.113320 47
-4.225 0.113820 50
-4.200 0.114343 50
-4.175 0.114890 52
-4.150 0.115462 52
-4.125 0.116057 52
-4.100 0.116678 52
-4.075 0.117322 53
-4.050 0.117992 53
-4.025 0.118686 54
-4.000 0.119406 54
-3.975 0.120151 54
-3.950 0.120921 54
-3.925 0.121718 56
-3.900 0.122540 55
-3.875 0.123388 56
-3.850 0.124263 57
-3.825 0.125164 57
-3.800 0.126092 57
-3.775 0.127047 57
-3.750 0.128029 59
-3.725 0.129038 58
-3.700 0.130076 57
-3.675 0.131141 59
-3.650 0.132234 60
-3.625 0.133355 61
-3.600 0.134505 61
-3.575 0.135684 62
-3.550 0.136892 62
-3.525 0.138129 63
-3.500 0.139395 65
-3.475 0.140692 66
-3.450 0.142018 66
-3.425 0.143374 67
-3.400 0.144761 68
-3.375 0.146179 71
-3.350 0.147628 74
-3.325 0.149108 75
-3.300 0.150619 77
-3.275 0.152163 78
-3.250 0.153738 80
-3.225 0.155346 79
-3.200 0.156986 84
-3.175 0.158659 85
-3.150 0.160365 85
-3.125 0.162104 85
-3.100 0.163877 87
-3.075 0.165684 90
-3.050 0.167524 92
-3.025 0.169400 95
-3.000 0.171310 100
-2.975 0.173255 103
-2.950 0.175235 104
-2.925 0.177251 107
-2.900 0.179302 111
-2.875 0.181389 114
-2.850 0.183513 115
-2.825 0.185673 118
-2.800 0.187870 121
-2.775 0.190105 122
-2.750 0.192376 124
-2.725 0.194686 126
-2.700 0.197033 128
-2.675 0.199418 131
-2.650 0.201842 134
-2.625 0.204304 134
-2.600 0.206806 136
-2.575 0.209347 137
-2.550 0.211927 140
-2.525 0.214547 143
-2.500 0.217207 146
