x y cost
0.8770 0.3559 0.0014
1.2631 1.0223 0.0038
-1.7412 0.9913 0.0090
-1.1694 0.8432 0.1033
-1.2378 0.6920 0.1356
0.8301 -0.0968 0.0004
0.0998 -0.5661 0.0009
0.3002 1.0509 0.1116
-1.2962 0.9655 0.0449
1.0982 1.0685 0.0079
-0.9754 1.0998 0.0837
0.9201 1.2528 0.0276
1.3091 1.5982 0.0239
-1.5159 -0.8216 0.0902
-1.2111 1.0367 0.0470
0.4398 -1.0250 0.0001
0.6342 1.4788 0.1521
0.7337 0.8793 0.0145
1.0725 -1.1029 0.0000
-1.9474 -1.1267 0.1357
-1.1677 1.0301 0.0557
1.0464 0.7431 0.0031
0.7698 -1.0461 0.0000
0.6152 0.7010 0.0117
-1.1196 -0.8684 0.0202
-1.3886 0.8700 0.0455
-0.4984 -1.2616 0.0006
-1.0337 0.7060 0.2468
0.5459 -0.0669 0.0010
0.6881 -1.0838 0.0000
-1.3675 -0.9463 0.0360
0.6903 -1.5344 0.0000
1.2017 -0.7954 0.0000
0.6105 -0.2818 0.0004
-1.2304 0.8447 0.0841
0.6797 1.1728 0.0474
-1.0181 -0.8358 0.0160
0.5429 1.2267 0.0898
1.2452 1.3462 0.0125
0.2075 -0.7396 0.0003
0.3159 -0.8491 0.0002
-1.4937 -1.1843 0.0245
0.6727 -1.0915 0.0000
0.7501 -0.5500 0.0001
0.9595 -1.0328 0.0000
-1.2353 0.9808 0.0524
1.1156 0.9318 0.0047
1.1804 -0.9769 0.0000
-0.9614 1.1412 0.0764
-1.0884 -1.1468 0.0070
-0.9522 1.2020 0.0643
0.8206 1.2679 0.0407
1.1340 1.3397 0.0179
-1.6892 -1.1694 0.0501
0.7833 -0.5394 0.0001
-1.0491 -1.3780 0.0027
1.0658 -0.2960 0.0001
0.5171 1.3328 0.1384
0.7910 0.7255 0.0070
0.5050 -0.7681 0.0001
0.4754 1.8617 0.7291
1.0215 0.3126 0.0008
0.5962 -1.5073 0.0000
0.7818 -0.1418 0.0004
-1.1890 -0.9179 0.0216
-1.2112 -0.3652 0.1489
-2.1533 -1.2944 0.1532
0.8805 0.8300 0.0074
0.7114 1.2601 0.0573
0.8216 -0.6819 0.0000
-1.2602 1.2757 0.0176
-1.2984 1.2106 0.0193
-1.3324 0.9654 0.0398
-1.3894 -1.1344 0.0204
-1.4258 0.6685 0.0791
0.5563 0.9549 0.0343
-0.7324 0.3967 1.1989
-1.3144 -1.6314 0.0028
-0.7731 1.0803 0.1722
1.3007 0.9131 0.0023
0.3540 -0.4764 0.0005
0.8576 -0.8514 0.0000
1.3689 0.5709 0.0006
1.1868 -0.6474 0.0000
-1.5247 -0.2960 0.4716
0.6922 1.1494 0.0420
-1.1434 1.4625 0.0138
0.5666 -0.9601 0.0000
0.6230 0.6968 0.0113
0.3966 1.3716 0.2290
-0.9941 -0.5069 0.0453
0.7260 1.0767 0.0292
-1.5191 -1.0193 0.0470
0.8168 -1.0291 0.0000
0.8696 -0.7977 0.0000
-1.6780 -0.4295 0.4971
0.5963 1.2420 0.0791
-1.2398 -1.3519 0.0058
1.4271 -1.6293 0.0000
-1.7129 0.4712 0.0588
1.2502 -0.9880 0.0000
1.1315 0.4267 0.0008
-1.2980 0.8816 0.0593
0.4406 1.1302 2.4379
0.9540 -1.1043 0.0000
0.5786 -0.5062 0.0002
-0.6699 -0.7850 0.0058
0.8961 0.9156 0.0094
-1.9012 0.7743 0.0110
-1.2213 1.0385 0.0452
1.0508 -1.2540 0.0000
-1.7268 0.4973 0.0514
-1.2609 1.1480 0.0272
0.4918 -0.7394 0.0001
0.1447 -0.9513 0.0002
0.5125 -0.6742 0.0001
0.4406 -0.7288 0.0002
0.9826 -0.7069 0.0000
-1.1852 -0.8321 0.0286
0.6669 -0.8919 0.0000
1.2069 -0.9043 0.0000
0.3392 -1.2757 0.0000
0.6310 -0.4018 0.0002
-1.3098 0.9461 0.0458
-1.0961 1.0170 0.0739
0.6403 0.8829 0.0202
-1.4709 -0.5639 0.1803
0.8514 -1.2758 0.0000
0.7557 1.1825 0.0379
-1.1839 0.9712 0.0643
-0.6375 -0.8647 0.0039
1.0881 0.9302 0.0051
0.4406 -1.2260 0.0000
-1.1532 -0.4827 0.0838
0.7311 -0.8436 0.0000
-0.8922 1.2926 0.0579
1.4277 -1.5008 0.0000
0.7520 0.1320 0.0010
1.2099 0.6985 0.0015
0.1628 -0.7386 0.0004
0.3581 -0.6790 0.0002
0.6331 -1.2475 0.0000
1.1823 1.2901 0.0128
-1.0640 1.0670 0.0696
0.3748 -0.6115 0.0003
-1.0101 0.9596 0.1187
0.6129 -0.7414 0.0001
-1.3656 0.6189 0.1136
1.1779 -0.9341 0.0000
1.0685 1.1018 0.0099
-1.4545 0.7735 0.0505
-1.1749 -0.8450 0.0265
0.4060 -0.8110 0.0001
-1.4504 -1.0157 0.0377
0.8879 -0.9549 0.0000
0.9142 1.0003 0.0118
-1.6639 -1.1142 0.0555
-1.5070 0.8904 0.0284
0.9507 0.9174 0.0078
-0.5493 -0.4652 0.0115
1.4765 -1.0054 0.0000
-1.4536 -0.0552 0.7356
0.2026 -0.7416 0.0003
1.0004 1.0096 0.0091
-1.2371 1.3455 0.0150
-1.0498 -0.9824 0.0107
1.1919 -1.8545 0.0000
0.6064 0.8706 0.0217
-1.3121 -0.0431 0.5279
-1.0377 1.3474 0.0294
-0.6304 -1.0864 0.0018
0.4659 1.2989 0.1462
-1.5081 -0.9639 0.0546
-0.8063 -0.6159 0.0165
0.8171 -0.7210 0.0000
-1.5464 0.7723 0.0372
-1.0578 1.1016 0.0633
0.8787 -1.0239 0.0000
-2.0779 -0.7431 0.6224
0.3488 0.9905 0.0778
0.8646 -1.1540 0.0000
1.3631 1.1383 0.0041
-1.0359 -0.8080 0.0187
0.4406 -0.8252 0.0001
-0.8217 -0.8329 0.0082
0.3508 1.2410 0.1753
0.9200 -0.8975 0.0000
0.3835 -0.9844 0.0001
0.4570 0.9798 0.0523
-1.6085 -0.8907 0.0974
0.9860 -2.0077 0.0000
-1.0616 -0.8917 0.0153
-1.0123 1.2543 0.0440
0.8618 1.2214 0.0302
0.5489 -0.2960 0.0005
0.7572 -0.9254 0.0000
1.0646 -0.7610 0.0000
1.2252 1.3847 0.0153
-1.3531 1.0075 0.0321
1.0662 1.2244 0.0152
-0.0365 0.8356 0.1646
-1.1534 -0.9394 0.0178
0.5891 1.5521 0.2212
-1.3315 -0.6473 0.0875
-0.9482 -0.9273 0.0092
-0.9734 -1.1122 0.0053
-1.6676 0.6851 0.0332
0.9347 -1.3690 0.0000
-1.2242 -0.6775 0.0553
-0.4585 -1.0421 0.0011
0.6909 -0.6695 0.0001
0.7842 -0.5245 0.0001
-1.7519 -1.2799 0.0426
0.6575 -1.0210 0.0000
0.9307 -1.0683 0.0000
-1.6445 0.9272 0.0156
0.8048 -0.5619 0.0001
0.6798 -1.3519 0.0000
1.0155 0.6690 0.0027
-1.1327 -0.4763 0.0800
1.3862 -1.2989 0.0000
0.9714 0.9688 0.0087
0.3761 1.0960 0.1009
0.0599 -0.8311 0.0004
0.1696 1.3726 0.4482
0.9311 -1.0580 0.0000
-0.8430 -0.9270 0.0064
-0.7703 -0.8102 0.0075
0.7568 1.0220 0.0218
0.4406 -1.2967 0.0000
0.4685 -0.3471 0.0005
0.4406 1.7171 0.5497
0.0271 -0.4791 0.0015
-0.9198 0.8795 0.2047
0.4406 -0.7261 0.0002
0.3563 1.0805 0.1023
1.4060 -1.3761 0.0000
1.2149 -1.7051 0.0000
0.4517 -0.9230 0.0001
-1.4433 0.6522 0.0788
1.0017 -0.9370 0.0000
-1.3361 0.9450 0.0421
1.3734 -1.3486 0.0000
1.2482 1.1582 0.0065
0.8544 -1.5814 0.0000
-1.3118 0.9903 0.0392
-1.7131 -1.3042 0.0344
0.3927 -0.5783 0.0003
