norme total right wrong
0.1224 0.625320 0.608917 0.016402
0.2447 0.564766 0.547504 0.017261
0.3671 0.511149 0.492977 0.018172
0.4895 0.463962 0.444831 0.019132
0.6119 0.422596 0.402459 0.020137
0.7342 0.386399 0.365215 0.021184
0.8566 0.354728 0.332458 0.022270
0.9790 0.326983 0.303592 0.023391
1.1013 0.302624 0.278080 0.024544
1.2237 0.281177 0.255451 0.025726
1.3461 0.262234 0.235301 0.026933
1.4684 0.245449 0.217285 0.028164
1.5908 0.230528 0.201113 0.029416
1.7132 0.217226 0.186540 0.030686
1.8356 0.205334 0.173360 0.031975
1.9579 0.194678 0.161399 0.033279
2.0803 0.185110 0.150512 0.034598
2.2027 0.176504 0.140574 0.035930
2.3250 0.168753 0.131479 0.037274
2.4474 0.161766 0.123135 0.038630
2.5698 0.155462 0.115465 0.039997
2.6921 0.149774 0.108401 0.041373
2.8145 0.144641 0.101883 0.042758
2.9369 0.140012 0.095860 0.044152
3.0593 0.135839 0.090286 0.045553
3.1816 0.132082 0.085120 0.046962
3.3040 0.128704 0.080326 0.048378
3.4264 0.125673 0.075873 0.049801
3.5487 0.122960 0.071731 0.051229
3.6711 0.120539 0.067876 0.052663
3.7935 0.118385 0.064283 0.054102
3.9159 0.116478 0.060932 0.055547
4.0382 0.114799 0.057803 0.056996
4.1606 0.113329 0.054880 0.058449
4.2830 0.112053 0.052146 0.059907
4.4053 0.110957 0.049588 0.061369
4.5277 0.110026 0.047192 0.062834
4.6501 0.109249 0.044946 0.064303
4.7724 0.108615 0.042839 0.065776
4.8948 0.108113 0.040862 0.067251
5.0172 0.107734 0.039004 0.068730
5.1396 0.107469 0.037258 0.070211
5.2619 0.107311 0.035616 0.071695
5.3843 0.107252 0.034070 0.073182
5.5067 0.107285 0.032614 0.074671
5.6290 0.107404 0.031242 0.076162
5.7514 0.107604 0.029948 0.077656
5.8738 0.107878 0.028727 0.079151
5.9962 0.108223 0.027574 0.080649
6.1185 0.108633 0.026485 0.082148
6.2409 0.109105 0.025455 0.083650
6.3633 0.109634 0.024481 0.085153
6.4856 0.110216 0.023559 0.086658
6.6080 0.110849 0.022685 0.088164
6.7304 0.111530 0.021858 0.089672
6.8527 0.112255 0.021073 0.091181
6.9751 0.113021 0.020329 0.092692
7.0975 0.113826 0.019622 0.094204
7.2199 0.114669 0.018951 0.095717
7.3422 0.115546 0.018314 0.097232
7.4646 0.116455 0.017707 0.098748
7.5870 0.117395 0.017131 0.100264
7.7093 0.118364 0.016582 0.101782
7.8317 0.119360 0.016059 0.103301
7.9541 0.120382 0.015561 0.104821
8.0764 0.121428 0.015086 0.106342
8.1988 0.122497 0.014633 0.107864
8.3212 0.123587 0.014201 0.109387
8.4436 0.124698 0.013788 0.110911
8.5659 0.125829 0.013394 0.112435
8.6883 0.126977 0.013017 0.113960
8.8107 0.128143 0.012656 0.115486
8.9330 0.129325 0.012312 0.117013
9.0554 0.130523 0.011982 0.118541
9.1778 0.131735 0.011666 0.120069
9.3002 0.132961 0.011363 0.121598
9.4225 0.134201 0.011073 0.123128
9.5449 0.135452 0.010795 0.124658
9.6673 0.136716 0.010528 0.126189
9.7896 0.137992 0.010271 0.127720
9.9120 0.139277 0.010025 0.129252
10.0344 0.140574 0.009789 0.130785
10.1567 0.141880 0.009562 0.132318
10.2791 0.143195 0.009343 0.133851
10.4015 0.144519 0.009133 0.135386
10.5239 0.145851 0.008931 0.136920
10.6462 0.147191 0.008736 0.138455
10.7686 0.148539 0.008548 0.139991
10.8910 0.149895 0.008368 0.141527
11.0133 0.151257 0.008193 0.143064
11.1357 0.152625 0.008025 0.144600
11.2581 0.154001 0.007863 0.146138
11.3805 0.155382 0.007706 0.147676
11.5028 0.156769 0.007555 0.149214
11.6252 0.158161 0.007409 0.150752
11.7476 0.159559 0.007268 0.152291
11.8699 0.160962 0.007131 0.153830
11.9923 0.162369 0.006999 0.155370
12.1147 0.163781 0.006871 0.156910
12.2370 0.165198 0.006748 0.158450
12.3594 0.166619 0.006628 0.159991
12.4818 0.168044 0.006512 0.161532
12.6042 0.169473 0.006400 0.163073
12.7265 0.170905 0.006291 0.164615
12.8489 0.172342 0.006185 0.166157
12.9713 0.173781 0.006083 0.167699
13.0936 0.175224 0.005983 0.169241
13.2160 0.176670 0.005887 0.170784
13.3384 0.178120 0.005793 0.172327
13.4607 0.179572 0.005702 0.173870
13.5831 0.181027 0.005613 0.175414
13.7055 0.182485 0.005527 0.176957
13.8279 0.183945 0.005444 0.178501
13.9502 0.185408 0.005362 0.180046
14.0726 0.186873 0.005283 0.181590
14.1950 0.188341 0.005206 0.183135
14.3173 0.189810 0.005131 0.184680
14.4397 0.191283 0.005058 0.186225
14.5621 0.192757 0.004987 0.187770
14.6845 0.194233 0.004917 0.189316
