x y
-1.4854 0.2750
-1.1694 0.8432
-1.3435 -0.2960
-1.1072 0.9939
-1.0337 0.7060
-1.2353 0.9808
-0.9614 1.1412
-1.5707 0.9347
-1.3324 0.9654
-0.9358 1.2581
-0.7731 1.0803
-1.2338 1.2853
-1.2291 -0.2960
-1.7129 0.4712
-1.7265 0.7895
-1.2980 0.8816
-1.9012 0.7743
-1.4309 0.5332
-1.7268 0.4973
-1.3023 1.0610
-1.3098 0.9461
-1.1839 0.9712
-0.8922 1.2926
-1.0082 1.4446
-1.3656 0.6189
-1.3095 0.6251
-1.4546 0.7735
-1.3259 0.7342
-1.1931 1.0955
-1.0123 1.2543
-1.3531 1.0075
-1.5547 1.1646
-1.0392 1.1759
-0.9010 1.3560
-1.3642 0.7385
-1.1945 1.1025
-1.4241 1.3113
-1.2365 -0.2960
-1.2444 1.0678
-1.0915 1.1590
-1.3589 0.8212
-1.0285 1.0374
-1.4043 1.0923
-1.4490 0.4517
-1.1499 1.1503
0.4099 0.4313
-1.2343 0.9651
-1.3650 -0.2960
-1.5014 0.5189
-1.3922 0.7375
-1.3954 0.8686
-0.8301 1.1849
-1.0710 1.2020
-0.6578 0.9816
-0.6007 1.9166
-1.3388 0.8761
0.4406 1.0885
-0.9294 0.9899
-0.6883 1.3636
-1.3348 0.8603
-1.0234 1.3586
-1.2258 0.7497
-1.1090 1.2582
-1.4336 0.5636
-1.0339 1.4864
-0.8038 1.2318
-1.4420 0.5545
1.2469 -0.3176
-1.1406 0.6972
-1.5993 0.4720
-0.8002 1.6394
-0.5039 1.5420
-0.6996 1.0985
-1.1985 1.2108
-0.8565 0.8012
-1.0176 1.0617
-0.8918 1.4008
-0.7985 1.3144
-1.1241 0.7160
-1.9041 0.4335
-1.6403 0.9075
-0.9962 1.2265
-1.1104 0.9605
-1.3282 0.5609
-0.7136 1.5727
-0.5211 1.1944
-1.0181 0.8375
-0.9352 1.4349
-1.2790 0.8276
-0.9585 1.2986
-1.0424 0.9601
-1.5204 0.6568
-1.3429 1.2725
-1.3463 0.8618
0.4406 0.6783
-1.3480 0.9841
-1.4154 0.9310
-1.0003 0.9126
-0.5893 1.6237
-1.1556 1.1872
-1.4618 0.9411
-1.1467 0.6545
-0.8837 1.2760
-0.8723 1.4567
-1.5556 0.7256
0.5112 -0.5214
-1.2915 0.8582
-0.5765 1.3091
0.6689 0.8292
-0.9352 1.3762
-1.3926 0.9550
-1.4361 1.1948
