iter norme pente decalage
1 0.2991 1.1897 0.9885
2 0.5230 1.1907 0.9932
3 0.6989 1.1884 0.9952
4 0.8440 1.1836 0.9952
5 0.9680 1.1775 0.9940
6 1.0768 1.1707 0.9922
7 1.1742 1.1636 0.9901
8 1.2625 1.1566 0.9879
9 1.3436 1.1499 0.9857
10 1.4185 1.1435 0.9836
11 1.4884 1.1374 0.9816
12 1.5538 1.1316 0.9798
13 1.6154 1.1263 0.9781
14 1.6737 1.1213 0.9766
15 1.7289 1.1166 0.9752
16 1.7815 1.1122 0.9739
17 1.8317 1.1081 0.9728
18 1.8797 1.1042 0.9717
19 1.9257 1.1006 0.9708
20 1.9699 1.0972 0.9699
21 2.0124 1.0940 0.9691
22 2.0534 1.0911 0.9684
23 2.0929 1.0882 0.9678
24 2.1312 1.0856 0.9672
25 2.1681 1.0831 0.9667
26 2.2040 1.0807 0.9662
27 2.2387 1.0785 0.9657
28 2.2724 1.0763 0.9653
29 2.3052 1.0743 0.9650
30 2.3371 1.0724 0.9647
31 2.3681 1.0706 0.9644
32 2.3983 1.0688 0.9641
33 2.4278 1.0671 0.9638
34 2.4565 1.0656 0.9636
35 2.4845 1.0640 0.9634
36 2.5119 1.0626 0.9632
37 2.5386 1.0612 0.9631
38 2.5648 1.0599 0.9629
39 2.5903 1.0586 0.9628
40 2.6154 1.0573 0.9627
41 2.6398 1.0561 0.9625
42 2.6638 1.0550 0.9624
43 2.6874 1.0539 0.9624
44 2.7104 1.0528 0.9623
45 2.7330 1.0518 0.9622
46 2.7552 1.0508 0.9621
47 2.7769 1.0499 0.9621
48 2.7983 1.0490 0.9620
49 2.8193 1.0481 0.9620
50 2.8399 1.0472 0.9620
51 2.8601 1.0464 0.9619
52 2.8800 1.0455 0.9619
53 2.8996 1.0448 0.9619
54 2.9188 1.0440 0.9619
55 2.9377 1.0433 0.9618
56 2.9563 1.0425 0.9618
57 2.9746 1.0418 0.9618
58 2.9927 1.0411 0.9618
59 3.0104 1.0405 0.9618
60 3.0279 1.0398 0.9618
61 3.0451 1.0392 0.9618
62 3.0621 1.0386 0.9619
63 3.0788 1.0380 0.9619
64 3.0953 1.0374 0.9619
65 3.1116 1.0368 0.9619
66 3.1276 1.0363 0.9619
67 3.1434 1.0357 0.9619
68 3.1589 1.0352 0.9620
69 3.1743 1.0347 0.9620
70 3.1895 1.0342 0.9620
71 3.2044 1.0337 0.9620
72 3.2192 1.0332 0.9621
73 3.2337 1.0327 0.9621
74 3.2481 1.0323 0.9621
