w1 w2 cost
-6.0000 -2.0000 1.079017
-6.0000 -1.8222 1.034051
-6.0000 -1.6444 0.990240
-6.0000 -1.4667 0.947618
-6.0000 -1.2889 0.906217
-6.0000 -1.1111 0.866066
-6.0000 -0.9333 0.827190
-6.0000 -0.7556 0.789608
-6.0000 -0.5778 0.753336
-6.0000 -0.4000 0.718383
-6.0000 -0.2222 0.684749
-6.0000 -0.0444 0.652430
-6.0000 0.1333 0.621413
-6.0000 0.3111 0.591679
-6.0000 0.4889 0.563202
-6.0000 0.6667 0.535955
-6.0000 0.8444 0.509904
-6.0000 1.0222 0.485017
-6.0000 1.2000 0.461262
-6.0000 1.3778 0.438609
-6.0000 1.5556 0.417032
-6.0000 1.7333 0.396507
-6.0000 1.9111 0.377016
-6.0000 2.0889 0.358542
-6.0000 2.2667 0.341075
-6.0000 2.4444 0.324609
-6.0000 2.6222 0.309141
-6.0000 2.8000 0.294674
-6.0000 2.9778 0.281216
-6.0000 3.1556 0.268779
-6.0000 3.3333 0.257377
-6.0000 3.5111 0.247025
-6.0000 3.6889 0.237741
-6.0000 3.8667 0.229540
-6.0000 4.0444 0.222435
-6.0000 4.2222 0.216441
-6.0000 4.4000 0.211569
-6.0000 4.5778 0.207831
-6.0000 4.7556 0.205238
-6.0000 4.9333 0.203801
-6.0000 5.1111 0.203533
-6.0000 5.2889 0.204445
-6.0000 5.4667 0.206551
-6.0000 5.6444 0.209863
-6.0000 5.8222 0.214394
-6.0000 6.0000 0.220155

-5.8222 -2.0000 1.055370
-5.8222 -1.8222 1.009620
-5.8222 -1.6444 0.965049
-5.8222 -1.4667 0.921696
-5.8222 -1.2889 0.879600
-5.8222 -1.1111 0.838796
-5.8222 -0.9333 0.799316
-5.8222 -0.7556 0.761188
-5.8222 -0.5778 0.724432
-5.8222 -0.4000 0.689065
-5.8222 -0.2222 0.655092
-5.8222 -0.0444 0.622514
-5.8222 0.1333 0.591323
-5.8222 0.3111 0.561502
-5.8222 0.4889 0.533029
-5.8222 0.6667 0.505877
-5.8222 0.8444 0.480011
-5.8222 1.0222 0.455400
-5.8222 1.2000 0.432006
-5.8222 1.3778 0.409798
-5.8222 1.5556 0.388741
-5.8222 1.7333 0.368809
-5.8222 1.9111 0.349975
-5.8222 2.0889 0.332217
-5.8222 2.2667 0.315516
-5.8222 2.4444 0.299861
-5.8222 2.6222 0.285242
-5.8222 2.8000 0.271656
-5.8222 2.9778 0.259106
-5.8222 3.1556 0.247596
-5.8222 3.3333 0.237138
-5.8222 3.5111 0.227741
-5.8222 3.6889 0.219417
-5.8222 3.8667 0.212177
-5.8222 4.0444 0.206031
-5.8222 4.2222 0.200991
-5.8222 4.4000 0.197065
-5.8222 4.5778 0.194264
-5.8222 4.7556 0.192600
-5.8222 4.9333 0.192085
-5.8222 5.1111 0.192730
-5.8222 5.2889 0.194552
-5.8222 5.4667 0.197564
-5.8222 5.6444 0.201781
-5.8222 5.8222 0.207218
-5.8222 6.0000 0.213888

-5.6444 -2.0000 1.033121
-5.6444 -1.8222 0.986581
-5.6444 -1.6444 0.941241
-5.6444 -1.4667 0.897145
-5.6444 -1.2889 0.854339
-5.6444 -1.1111 0.812866
-5.6444 -0.9333 0.772765
-5.6444 -0.7556 0.734071
-5.6444 -0.5778 0.696812
-5.6444 -0.4000 0.661010
-5.6444 -0.2222 0.626679
-5.6444 -0.0444 0.593825
-5.6444 0.1333 0.562444
-5.6444 0.3111 0.532526
-5.6444 0.4889 0.504049
-5.6444 0.6667 0.476989
-5.6444 0.8444 0.451312
-5.6444 1.0222 0.426982
