feature,median,mu,sigma
Astronomy,258.11303174460636,38.59994964247248,520.8444989144689
Herbology,3.4690121044769087,1.1890343765320528,5.174513981295924
Divination,4.624,3.189743124999998,4.109289085521999
Muggle Studies,-419.16429373366526,-228.84622940124956,481.6839236277781
Ancient Runes,463.91830514671324,495.0516961391984,105.18574767022251
History of Magic,4.378175538816984,3.001124914941041,4.370491416185209
Transfiguration,1045.5069962908478,1030.4244099475864,43.69638036733967
Potions,5.874837348493016,5.948956699449716,3.1172270923556753
Charms,-244.86776500000002,-243.37440901250008,8.780894559533122
Flying,-2.5149999999999997,21.958012500000063,97.60108742375692
class,bias,Astronomy,Herbology,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Charms,Flying
Gryffindor,-3.541007771583288,0.5022834896891413,-1.8054030686204041,1.2926602800982285,0.08269964924722296,0.6043940222693941,-0.26574576463412136,-0.7263686315972114,-0.035419460339635334,0.12751116949581542,1.6124573095849593
Hufflepuff,-2.361346430454606,2.484505843601046,1.6344793490592142,0.7146751485188255,-1.0344209295793831,-1.5059785668037284,0.88133037462828,0.5777487382084203,-0.32367323268150655,-0.28920918365582227,-0.47565253297439447
Ravenclaw,-2.557692681542784,-1.3710458909162708,0.7392932182878305,0.09423178349193509,0.885186942719722,1.3079130123052807,0.04967920801570232,-0.11633045076903409,-0.16934724421613928,1.2910134459530744,-0.16761225762956533
Slytherin,-3.7748534388233943,-2.018958115594345,-0.6986575860874257,-1.356487832505424,-0.41645891774947635,-0.7975730817444094,-0.24947769843887516,0.8090015404774278,0.612306025240697,-0.8888410583922284,-0.5854408770308183
